章名称,名称cn,级别,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
狩猎关卡 第8弹,飞龙·狩猎,开位级,ワイバーン・ハント_開位級,30,敌人1|双足飞龙||骑|48|13906,敌人1|双足飞龙||骑|49|14490,敌人1|恐惧飞龙||骑|37|23962,敌人1|双足飞龙||骑|50|22474,敌人1|恐惧飞龙||骑|38|31404,敌人1|双足飞龙||骑|51|22954,敌人2|破坏兽||骑|79|51783,敌人2|风暴双足飞龙||骑|50|136542,敌人1|双足飞龙||骑|52|25635
狩猎关卡 第8弹,飞龙·狩猎,祭位级,ワイバーン・ハント_祭位級,35,敌人1|双足飞龙||骑|62|23617,敌人1|恐惧飞龙||骑|47|36858,敌人1|双足飞龙||骑|61|22870,敌人1|恐惧飞龙||骑|48|42251,敌人1|双足飞龙||骑|63|31725,敌人1|双足飞龙||骑|64|33002,敌人2|破坏兽||骑|90|78539,敌人2|风暴双足飞龙||骑|58|179613,敌人1|双足飞龙||骑|65|48663
狩猎关卡 第8弹,飞龙·狩猎,典位级,ワイバーン・ハント_典位級,40,敌人1|恐惧飞龙||骑|60|41203,敌人1|双足飞龙||骑|77|30636,敌人1|双足飞龙||骑|76|29781,敌人1|双足飞龙||骑|79|43497,敌人1|双足飞龙||骑|78|42480,敌人1|恐惧飞龙||骑|61|52014,敌人2|破坏兽||骑|90|88847,敌人2|风暴双足飞龙||骑|67|200223,敌人1|双足飞龙||骑|80|68500
狩猎关卡 第8弹,飞龙·狩猎,典位+级,ワイバーン・ハント_典位+級,40,敌人1|恐惧飞龙||骑|69|85257,,敌人1|双足飞龙||骑|89|65253,敌人1|双足飞龙||骑|90|79715,敌人1|恐惧飞龙||骑|70|96084,,敌人2|破坏兽||骑|90|117808,敌人2|风暴双足飞龙||骑|74|221249,
狩猎关卡 第8弹,自动防卫装置·狩猎,开位级,自動防衛装置・ハント_開位級,40,敌人1|自动防卫装置||弓|44|15070,敌人1|自动防卫装置||弓|43|14738,敌人1|自动防卫装置||弓|44|15321,敌人1|自动防卫装置||弓|45|24386,敌人1|自动防卫装置||弓|45|25670,敌人1|自动防卫装置||弓|46|28845,敌人2|破坏兽||弓|79|56098,敌人2|自动防卫装置·二式||弓|49|139785,敌人1|自动防卫装置||弓|47|34005
狩猎关卡 第8弹,自动防卫装置·狩猎,祭位级,自動防衛装置・ハント_祭位級,40,敌人1|自动防卫装置||弓|56|25447,敌人1|自动防卫装置||弓|57|25889,敌人1|自动防卫装置||弓|57|26536,敌人1|自动防卫装置||弓|58|33902,敌人1|自动防卫装置||弓|59|35810,敌人1|自动防卫装置||弓|58|34560,敌人2|破坏兽||弓|90|78539,敌人2|自动防卫装置·二式||弓|57|188312,敌人1|自动防卫装置||弓|60|53412
狩猎关卡 第8弹,自动防卫装置·狩猎,典位级,自動防衛装置・ハント_典位級,40,敌人1|自动防卫装置||弓|68|37730,敌人1|自动防卫装置||弓|68|38500,敌人1|自动防卫装置||弓|69|39053,敌人1|自动防卫装置||弓|71|48658,敌人1|自动防卫装置||弓|70|47527,敌人1|自动防卫装置||弓|70|47527,敌人2|破坏兽||弓|90|93265,敌人2|自动防卫装置·二式||弓|65|202804,敌人1|自动防卫装置||弓|72|63596
狩猎关卡 第8弹,自动防卫装置·狩猎,典位+级,自動防衛装置・ハント_典位+級,40,,敌人1|自动防卫装置||弓|79|66957,,敌人1|自动防卫装置||弓|80|79084,敌人1|自动防卫装置||弓|80|78180,,敌人2|破坏兽||弓|90|117808,敌人2|自动防卫装置·二式||弓|72|234274,敌人1|自动防卫装置||弓|81|91600
狩猎关卡 第8弹,蛇女·狩猎,开位级,ラミア・ハント_開位級,30,敌人1|蛇女||术|35|15770,敌人1|蛇女||术|35|16263,敌人1|那伽||术|30|25059,敌人1|蛇女||术|36|21785,敌人1|那伽||术|31|31166,敌人1|蛇女||术|36|22292,敌人2|破坏兽||术|79|56098,敌人2|蛇女女王||术|57|123030,敌人1|蛇女||术|37|28625
狩猎关卡 第8弹,蛇女·狩猎,祭位级,ラミア・ハント_祭位級,35,敌人1|蛇女||术|46|21973,敌人1|那伽||术|39|31521,敌人1|蛇女||术|45|20238,敌人1|那伽||术|40|45698,敌人1|蛇女||术|47|34985,敌人1|蛇女||术|47|35645,敌人2|破坏兽||术|90|78539,敌人2|蛇女女王||术|66|183212,敌人1|蛇女||术|48|51218
