序号,中文名,技能序号,技能图标,强化,强化时间,技能名称,技能效果,效果,作用对象,对象特性,作用场景,概率,幅度,次数,持续回合,延迟,冷却时间,提升类型,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10
88,布伦希尔德,技能1,红放,未强化,,魔力放出（炎） B,自身的Buster指令卡性能提升(1回合),状态[Buster指令卡性能提升],自身,,,,,,1,,7,幅度,15%,16%,17%,18%,19%,20%,21%,22%,23%,25%
88,布伦希尔德,技能1,红放,未强化,,魔力放出（炎） B,宝具威力提升(1回合),状态[宝具威力提升],自身,,,,,,1,,7,幅度,8%,8.7%,9.4%,10.1%,10.8%,11.5%,12.2%,12.9%,13.6%,15%	
88,布伦希尔德,技能2,暴击发生率下降,强化前,,原初之卢恩,敌方单体的暴击发生率下降(3回合),,敌方单体,,,,,,3,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
88,布伦希尔德,技能2,暴击发生率下降,强化前,,原初之卢恩,宝具威力下降(1回合),状态[宝具威力下降],敌方单体,,,,,,1,,8,幅度,15%,16.5%,18%,19.5%,21%,22.5%,24%,25.5%,27%,30%
88,布伦希尔德,技能2,充能,强化后,从者强化任务 第12弹～5th Anniversary～特别篇,原初之卢恩,自身NP增加,效果[NP增加],自身,,,,,,,,8,幅度,20%,21%,22%,23%,24%,25%,26%,27%,28%,30%
88,布伦希尔德,技能2,充能,强化后,从者强化任务 第12弹～5th Anniversary～特别篇,原初之卢恩,敌方单体的暴击发生率下降(3回合),,敌方单体,,,,,,3,,8,幅度,30%,32%,34%,36%,38%,40%,42%,44%,46%,50%
88,布伦希尔德,技能2,充能,强化后,从者强化任务 第12弹～5th Anniversary～特别篇,原初之卢恩,宝具威力下降(1回合),状态[宝具威力下降],敌方单体,,,,,,1,,8,幅度,15%,16.5%,18%,19.5%,21%,22.5%,24%,25.5%,27%,30%
88,布伦希尔德,技能3,集星,强化后,幕间物语活动 第5弹,英雄的陪侍 C++,己方单体的暴击星集中度提升(3回合),,己方单体,,,,,,3,,7,幅度,1000%,1200%,1400%,1600%,1800%,2000%,2200%,2400%,2600%,3000%
88,布伦希尔德,技能3,集星,强化后,幕间物语活动 第5弹,英雄的陪侍 C++,暴击威力提升(3回合),,己方单体,,,,,,3,,7,幅度,20%,22%,24%,26%,28%,30%,32%,34%,36%,40%
88,布伦希尔德,技能3,集星,强化后,幕间物语活动 第5弹,英雄的陪侍 C++,HP回复,,己方单体,,,,,,,,7,幅度,1000,1200,1400,1600,1800,2000,2200,2400,2600,3000
88,布伦希尔德,技能3,集星,强化前,,英雄的陪侍 C,己方单体的暴击星集中度提升(3回合),,己方单体,,,,,,3,,7,幅度,300%,330%,360%,390%,420%,450%,480%,510%,540%,600%
88,布伦希尔德,技能3,集星,强化前,,英雄的陪侍 C,HP回复,,己方单体,,,,,,,,7,幅度,1000,1200,1400,1600,1800,2000,2200,2400,2600,3000
